Step,datetime,office_population,hospitalized,patients_total
360,2021-01-16 00:00:00,0,0,0
361,2021-01-16 01:00:00,0,0,0
362,2021-01-16 02:00:00,0,0,0
363,2021-01-16 03:00:00,0,0,0
364,2021-01-16 04:00:00,0,0,0
365,2021-01-16 05:00:00,0,0,0
366,2021-01-16 06:00:00,0,0,0
367,2021-01-16 07:00:00,0,0,0
368,2021-01-16 08:00:00,0,0,0
369,2021-01-16 09:00:00,0,0,0
370,2021-01-16 10:00:00,0,0,0
371,2021-01-16 11:00:00,0,0,0
372,2021-01-16 12:00:00,0,0,0
373,2021-01-16 13:00:00,0,0,0
374,2021-01-16 14:00:00,0,0,0
375,2021-01-16 15:00:00,0,0,0
376,2021-01-16 16:00:00,0,0,0
377,2021-01-16 17:00:00,0,0,0
378,2021-01-16 18:00:00,0,0,0
379,2021-01-16 19:00:00,0,0,0
380,2021-01-16 20:00:00,0,0,0
381,2021-01-16 21:00:00,0,0,0
382,2021-01-16 22:00:00,0,0,0
383,2021-01-16 23:00:00,0,0,0
384,2021-01-17 00:00:00,0,0,0
385,2021-01-17 01:00:00,0,0,0
386,2021-01-17 02:00:00,0,0,0
387,2021-01-17 03:00:00,0,0,0
388,2021-01-17 04:00:00,0,0,0
389,2021-01-17 05:00:00,0,0,0
390,2021-01-17 06:00:00,0,0,0
391,2021-01-17 07:00:00,0,0,0
392,2021-01-17 08:00:00,0,0,0
393,2021-01-17 09:00:00,0,0,0
394,2021-01-17 10:00:00,0,0,0
395,2021-01-17 11:00:00,0,0,0
396,2021-01-17 12:00:00,0,0,0
397,2021-01-17 13:00:00,0,0,0
398,2021-01-17 14:00:00,0,0,0
399,2021-01-17 15:00:00,0,0,0
400,2021-01-17 16:00:00,0,0,0
401,2021-01-17 17:00:00,0,0,0
402,2021-01-17 18:00:00,0,0,0
403,2021-01-17 19:00:00,0,0,0
404,2021-01-17 20:00:00,0,0,0
405,2021-01-17 21:00:00,0,0,0
406,2021-01-17 22:00:00,0,0,0
407,2021-01-17 23:00:00,0,0,0
408,2021-01-18 00:00:00,0,0,0
409,2021-01-18 01:00:00,0,0,0
410,2021-01-18 02:00:00,0,0,0
411,2021-01-18 03:00:00,0,0,0
412,2021-01-18 04:00:00,0,0,0
413,2021-01-18 05:00:00,0,0,0
414,2021-01-18 06:00:00,0,0,0
415,2021-01-18 07:00:00,0,0,0
416,2021-01-18 08:00:00,0,0,0
417,2021-01-18 09:00:00,0,0,0
418,2021-01-18 10:00:00,0,0,0
419,2021-01-18 11:00:00,0,0,0
420,2021-01-18 12:00:00,0,0,0
421,2021-01-18 13:00:00,0,0,0
422,2021-01-18 14:00:00,0,0,0
423,2021-01-18 15:00:00,0,0,0
424,2021-01-18 16:00:00,0,0,0
425,2021-01-18 17:00:00,0,0,0
426,2021-01-18 18:00:00,0,0,0
427,2021-01-18 19:00:00,0,0,0
428,2021-01-18 20:00:00,0,0,0
429,2021-01-18 21:00:00,0,0,0
430,2021-01-18 22:00:00,0,0,0
431,2021-01-18 23:00:00,0,0,0
432,2021-01-19 00:00:00,0,0,0
433,2021-01-19 01:00:00,0,0,0
434,2021-01-19 02:00:00,0,0,0
435,2021-01-19 03:00:00,0,0,0
436,2021-01-19 04:00:00,0,0,0
437,2021-01-19 05:00:00,0,0,0
438,2021-01-19 06:00:00,0,0,0
439,2021-01-19 07:00:00,0,0,0
440,2021-01-19 08:00:00,0,0,0
441,2021-01-19 09:00:00,0,0,0
442,2021-01-19 10:00:00,0,0,0
443,2021-01-19 11:00:00,0,0,0
444,2021-01-19 12:00:00,0,0,0
445,2021-01-19 13:00:00,0,0,0
446,2021-01-19 14:00:00,0,0,0
447,2021-01-19 15:00:00,0,0,0
448,2021-01-19 16:00:00,0,0,0
449,2021-01-19 17:00:00,0,0,0
450,2021-01-19 18:00:00,0,0,0
451,2021-01-19 19:00:00,0,0,0
452,2021-01-19 20:00:00,0,0,0
453,2021-01-19 21:00:00,0,0,0
454,2021-01-19 22:00:00,0,0,0
455,2021-01-19 23:00:00,0,0,0
456,2021-01-20 00:00:00,0,0,0
457,2021-01-20 01:00:00,0,0,0
458,2021-01-20 02:00:00,0,0,0
459,2021-01-20 03:00:00,0,0,0
460,2021-01-20 04:00:00,0,0,0
461,2021-01-20 05:00:00,0,0,0
462,2021-01-20 06:00:00,0,0,0
463,2021-01-20 07:00:00,0,0,0
464,2021-01-20 08:00:00,0,0,0
465,2021-01-20 09:00:00,0,0,0
466,2021-01-20 10:00:00,0,0,0
467,2021-01-20 11:00:00,0,0,0
468,2021-01-20 12:00:00,0,0,0
469,2021-01-20 13:00:00,0,0,0
470,2021-01-20 14:00:00,0,0,0
471,2021-01-20 15:00:00,0,0,0
472,2021-01-20 16:00:00,0,0,0
473,2021-01-20 17:00:00,0,0,0
474,2021-01-20 18:00:00,0,0,0
475,2021-01-20 19:00:00,0,0,0
476,2021-01-20 20:00:00,0,0,0
477,2021-01-20 21:00:00,0,0,0
478,2021-01-20 22:00:00,0,0,0
479,2021-01-20 23:00:00,0,0,0
480,2021-01-21 00:00:00,0,0,0
481,2021-01-21 01:00:00,0,0,0
482,2021-01-21 02:00:00,0,0,0
483,2021-01-21 03:00:00,0,0,0
484,2021-01-21 04:00:00,0,0,0
485,2021-01-21 05:00:00,0,0,0
486,2021-01-21 06:00:00,0,0,0
487,2021-01-21 07:00:00,0,0,0
488,2021-01-21 08:00:00,0,0,0
489,2021-01-21 09:00:00,0,0,0
490,2021-01-21 10:00:00,0,0,0
491,2021-01-21 11:00:00,0,0,0
492,2021-01-21 12:00:00,0,0,0
493,2021-01-21 13:00:00,0,0,0
494,2021-01-21 14:00:00,0,0,0
495,2021-01-21 15:00:00,0,0,0
496,2021-01-21 16:00:00,0,0,0
497,2021-01-21 17:00:00,0,0,0
498,2021-01-21 18:00:00,0,0,0
499,2021-01-21 19:00:00,0,0,0
500,2021-01-21 20:00:00,0,0,0
501,2021-01-21 21:00:00,0,0,0
502,2021-01-21 22:00:00,0,0,0
503,2021-01-21 23:00:00,0,0,0
504,2021-01-22 00:00:00,0,0,0
505,2021-01-22 01:00:00,0,0,0
506,2021-01-22 02:00:00,0,0,0
507,2021-01-22 03:00:00,0,0,0
508,2021-01-22 04:00:00,0,0,0
509,2021-01-22 05:00:00,0,0,0
510,2021-01-22 06:00:00,0,0,0
511,2021-01-22 07:00:00,0,0,0
512,2021-01-22 08:00:00,0,0,0
513,2021-01-22 09:00:00,0,0,0
514,2021-01-22 10:00:00,0,0,0
515,2021-01-22 11:00:00,0,0,0
516,2021-01-22 12:00:00,0,0,0
517,2021-01-22 13:00:00,0,0,0
518,2021-01-22 14:00:00,0,0,0
519,2021-01-22 15:00:00,0,0,0
520,2021-01-22 16:00:00,0,0,0
521,2021-01-22 17:00:00,0,0,0
522,2021-01-22 18:00:00,0,0,0
523,2021-01-22 19:00:00,0,0,0
524,2021-01-22 20:00:00,0,0,0
525,2021-01-22 21:00:00,0,0,0
526,2021-01-22 22:00:00,0,0,0
527,2021-01-22 23:00:00,0,0,0
528,2021-01-23 00:00:00,0,0,0
529,2021-01-23 01:00:00,0,0,0
530,2021-01-23 02:00:00,0,0,0
531,2021-01-23 03:00:00,0,0,0
532,2021-01-23 04:00:00,0,0,0
533,2021-01-23 05:00:00,0,0,0
534,2021-01-23 06:00:00,0,0,0
535,2021-01-23 07:00:00,0,0,0
536,2021-01-23 08:00:00,0,0,0
537,2021-01-23 09:00:00,0,0,0
538,2021-01-23 10:00:00,0,0,0
539,2021-01-23 11:00:00,0,0,0
540,2021-01-23 12:00:00,0,0,0
541,2021-01-23 13:00:00,0,0,0
542,2021-01-23 14:00:00,0,0,0
543,2021-01-23 15:00:00,0,0,0
544,2021-01-23 16:00:00,0,0,0
545,2021-01-23 17:00:00,0,0,0
546,2021-01-23 18:00:00,0,0,0
547,2021-01-23 19:00:00,0,0,0
548,2021-01-23 20:00:00,0,0,0
549,2021-01-23 21:00:00,0,0,0
550,2021-01-23 22:00:00,0,0,0
551,2021-01-23 23:00:00,0,0,0
552,2021-01-24 00:00:00,0,0,0
553,2021-01-24 01:00:00,0,0,0
554,2021-01-24 02:00:00,0,0,0
555,2021-01-24 03:00:00,0,0,0
556,2021-01-24 04:00:00,0,0,0
557,2021-01-24 05:00:00,0,0,0
558,2021-01-24 06:00:00,0,0,0
559,2021-01-24 07:00:00,0,0,0
560,2021-01-24 08:00:00,0,0,0
561,2021-01-24 09:00:00,0,0,0
562,2021-01-24 10:00:00,0,0,0
563,2021-01-24 11:00:00,0,0,0
564,2021-01-24 12:00:00,0,0,0
565,2021-01-24 13:00:00,0,0,0
566,2021-01-24 14:00:00,0,0,0
567,2021-01-24 15:00:00,0,0,0
568,2021-01-24 16:00:00,0,0,0
569,2021-01-24 17:00:00,0,0,0
570,2021-01-24 18:00:00,0,0,0
571,2021-01-24 19:00:00,0,0,0
572,2021-01-24 20:00:00,0,0,0
573,2021-01-24 21:00:00,0,0,0
574,2021-01-24 22:00:00,0,0,0
575,2021-01-24 23:00:00,0,0,0
576,2021-01-25 00:00:00,0,0,0
577,2021-01-25 01:00:00,0,0,0
578,2021-01-25 02:00:00,0,0,0
579,2021-01-25 03:00:00,0,0,0
580,2021-01-25 04:00:00,0,0,0
581,2021-01-25 05:00:00,0,0,0
582,2021-01-25 06:00:00,0,0,0
583,2021-01-25 07:00:00,0,0,0
584,2021-01-25 08:00:00,0,0,0
585,2021-01-25 09:00:00,0,0,0
586,2021-01-25 10:00:00,0,0,0
587,2021-01-25 11:00:00,0,0,0
588,2021-01-25 12:00:00,0,0,0
589,2021-01-25 13:00:00,0,0,0
590,2021-01-25 14:00:00,0,0,0
591,2021-01-25 15:00:00,0,0,0
592,2021-01-25 16:00:00,0,0,0
593,2021-01-25 17:00:00,0,0,0
594,2021-01-25 18:00:00,0,0,0
595,2021-01-25 19:00:00,0,0,0
596,2021-01-25 20:00:00,0,0,0
597,2021-01-25 21:00:00,0,0,0
598,2021-01-25 22:00:00,0,0,0
599,2021-01-25 23:00:00,0,0,0
600,2021-01-26 00:00:00,0,0,0
601,2021-01-26 01:00:00,0,0,0
602,2021-01-26 02:00:00,0,0,0
603,2021-01-26 03:00:00,0,0,0
604,2021-01-26 04:00:00,0,0,0
605,2021-01-26 05:00:00,0,0,0
606,2021-01-26 06:00:00,0,0,0
607,2021-01-26 07:00:00,0,0,0
608,2021-01-26 08:00:00,0,0,0
609,2021-01-26 09:00:00,0,0,0
610,2021-01-26 10:00:00,0,0,0
611,2021-01-26 11:00:00,0,0,0
612,2021-01-26 12:00:00,0,0,0
613,2021-01-26 13:00:00,0,0,0
614,2021-01-26 14:00:00,0,0,0
615,2021-01-26 15:00:00,0,0,0
616,2021-01-26 16:00:00,0,0,0
617,2021-01-26 17:00:00,0,0,0
618,2021-01-26 18:00:00,0,0,0
619,2021-01-26 19:00:00,0,0,0
620,2021-01-26 20:00:00,0,0,0
621,2021-01-26 21:00:00,0,0,0
622,2021-01-26 22:00:00,0,0,0
623,2021-01-26 23:00:00,0,0,0
624,2021-01-27 00:00:00,0,0,0
625,2021-01-27 01:00:00,0,0,0
626,2021-01-27 02:00:00,0,0,0
627,2021-01-27 03:00:00,0,0,0
628,2021-01-27 04:00:00,0,0,0
629,2021-01-27 05:00:00,0,0,0
630,2021-01-27 06:00:00,0,0,0
631,2021-01-27 07:00:00,0,0,0
632,2021-01-27 08:00:00,0,0,0
633,2021-01-27 09:00:00,0,0,0
634,2021-01-27 10:00:00,0,0,0
635,2021-01-27 11:00:00,0,0,0
636,2021-01-27 12:00:00,0,0,0
637,2021-01-27 13:00:00,0,0,0
638,2021-01-27 14:00:00,0,0,0
639,2021-01-27 15:00:00,0,0,0
640,2021-01-27 16:00:00,0,0,0
641,2021-01-27 17:00:00,0,0,0
642,2021-01-27 18:00:00,0,0,0
643,2021-01-27 19:00:00,0,0,0
644,2021-01-27 20:00:00,0,0,0
645,2021-01-27 21:00:00,0,0,0
646,2021-01-27 22:00:00,0,0,0
647,2021-01-27 23:00:00,0,0,0
648,2021-01-28 00:00:00,0,0,0
649,2021-01-28 01:00:00,0,0,0
650,2021-01-28 02:00:00,0,0,0
651,2021-01-28 03:00:00,0,0,0
652,2021-01-28 04:00:00,0,0,0
653,2021-01-28 05:00:00,0,0,0
654,2021-01-28 06:00:00,0,0,0
655,2021-01-28 07:00:00,0,0,0
656,2021-01-28 08:00:00,0,0,0
657,2021-01-28 09:00:00,0,0,0
658,2021-01-28 10:00:00,0,0,0
659,2021-01-28 11:00:00,0,0,0
660,2021-01-28 12:00:00,0,0,0
661,2021-01-28 13:00:00,0,0,0
662,2021-01-28 14:00:00,0,0,0
663,2021-01-28 15:00:00,0,0,0
664,2021-01-28 16:00:00,0,0,0
665,2021-01-28 17:00:00,0,0,0
666,2021-01-28 18:00:00,0,0,0
667,2021-01-28 19:00:00,0,0,0
668,2021-01-28 20:00:00,0,0,0
669,2021-01-28 21:00:00,0,0,0
670,2021-01-28 22:00:00,0,0,0
671,2021-01-28 23:00:00,0,0,0
672,2021-01-29 00:00:00,0,0,0
673,2021-01-29 01:00:00,0,0,0
674,2021-01-29 02:00:00,0,0,0
675,2021-01-29 03:00:00,0,0,0
676,2021-01-29 04:00:00,0,0,0
677,2021-01-29 05:00:00,0,0,0
678,2021-01-29 06:00:00,0,0,0
679,2021-01-29 07:00:00,0,0,0
680,2021-01-29 08:00:00,0,0,0
681,2021-01-29 09:00:00,0,0,0
682,2021-01-29 10:00:00,0,0,0
683,2021-01-29 11:00:00,0,0,0
684,2021-01-29 12:00:00,0,0,0
685,2021-01-29 13:00:00,0,0,0
686,2021-01-29 14:00:00,0,0,0
687,2021-01-29 15:00:00,0,0,0
688,2021-01-29 16:00:00,0,0,0
689,2021-01-29 17:00:00,0,0,0
690,2021-01-29 18:00:00,0,0,0
691,2021-01-29 19:00:00,0,0,0
692,2021-01-29 20:00:00,0,0,0
693,2021-01-29 21:00:00,0,0,0
694,2021-01-29 22:00:00,0,0,0
695,2021-01-29 23:00:00,0,0,0
696,2021-01-30 00:00:00,0,0,0
697,2021-01-30 01:00:00,0,0,0
698,2021-01-30 02:00:00,0,0,0
699,2021-01-30 03:00:00,0,0,0
700,2021-01-30 04:00:00,0,0,0
701,2021-01-30 05:00:00,0,0,0
702,2021-01-30 06:00:00,0,0,0
703,2021-01-30 07:00:00,0,0,0
704,2021-01-30 08:00:00,0,0,0
705,2021-01-30 09:00:00,0,0,0
706,2021-01-30 10:00:00,0,0,0
707,2021-01-30 11:00:00,0,0,0
708,2021-01-30 12:00:00,0,0,0
709,2021-01-30 13:00:00,0,0,0
710,2021-01-30 14:00:00,0,0,0
711,2021-01-30 15:00:00,0,0,0
712,2021-01-30 16:00:00,0,0,0
713,2021-01-30 17:00:00,0,0,0
714,2021-01-30 18:00:00,0,0,0
715,2021-01-30 19:00:00,0,0,0
716,2021-01-30 20:00:00,0,0,0
717,2021-01-30 21:00:00,0,0,0
718,2021-01-30 22:00:00,0,0,0
719,2021-01-30 23:00:00,0,0,0
